dim_1,dim_2,dim_3,dim_4,value
21,21,10,51,1.0
21,21,10,52,1.0
21,21,10,53,1.0
21,21,10,54,1.0
21,21,10,55,1.0
21,21,10,56,1.0
21,21,10,57,1.0
21,21,10,58,1.0
21,21,10,59,1.0
21,21,10,60,1.0
21,21,11,1,1.0
21,21,11,2,1.0
21,21,11,3,1.0
21,21,11,4,1.0
21,21,11,5,1.0
21,21,11,6,1.0
21,21,11,7,1.0
21,21,11,8,1.0
21,21,11,9,1.0
21,21,11,10,1.0
21,21,11,11,1.0
21,21,11,12,1.0
21,21,11,13,1.0
21,21,11,14,1.0
21,21,11,15,1.0
21,21,11,16,1.0
21,21,11,17,1.0
21,21,11,18,1.0
21,21,11,19,1.0
21,21,11,20,1.0
21,21,11,21,1.0
21,21,11,22,1.0
21,21,11,23,1.0
21,21,11,24,1.0
21,21,11,25,1.0
21,21,11,26,1.0
21,21,11,27,1.0
21,21,11,28,1.0
21,21,11,29,1.0
21,21,11,30,1.0
21,21,11,31,1.0
21,21,11,32,1.0
21,21,11,33,1.0
21,21,11,34,1.0
21,21,11,35,1.0
21,21,11,36,1.0
21,21,11,37,1.0
21,21,11,38,1.0
21,21,11,39,1.0
21,21,11,40,1.0
21,21,11,41,1.0
21,21,11,42,1.0
21,21,11,43,1.0
21,21,11,44,1.0
21,21,11,45,1.0
21,21,11,46,1.0
21,21,11,47,1.0
21,21,11,48,1.0
21,21,11,49,1.0
21,21,11,50,1.0
21,21,11,51,1.0
21,21,11,52,1.0
21,21,11,53,1.0
21,21,11,54,1.0
21,21,11,55,1.0
21,21,11,56,1.0
21,21,11,57,1.0
21,21,11,58,1.0
21,21,11,59,1.0
21,21,11,60,1.0
21,21,12,1,1.0
21,21,12,2,1.0
21,21,12,3,1.0
21,21,12,4,1.0
21,21,12,5,1.0
21,21,12,6,1.0
21,21,12,7,1.0
21,21,12,8,1.0
21,21,12,9,1.0
21,21,12,10,1.0
21,21,12,11,1.0
21,21,12,12,1.0
21,21,12,13,1.0
21,21,12,14,1.0
21,21,12,15,1.0
21,21,12,16,1.0
21,21,12,17,1.0
21,21,12,18,1.0
21,21,12,19,1.0
21,21,12,20,1.0
21,21,12,21,1.0
21,21,12,22,1.0
21,21,12,23,1.0
21,21,12,24,1.0
21,21,12,25,1.0
21,21,12,26,1.0
21,21,12,27,1.0
21,21,12,28,1.0
21,21,12,29,1.0
21,21,12,30,1.0
21,21,12,31,1.0
21,21,12,32,1.0
21,21,12,33,1.0
21,21,12,34,1.0
21,21,12,35,1.0
21,21,12,36,1.0
21,21,12,37,1.0
21,21,12,38,1.0
21,21,12,39,1.0
21,21,12,40,1.0
21,21,12,41,1.0
21,21,12,42,1.0
21,21,12,43,1.0
21,21,12,44,1.0
21,21,12,45,1.0
21,21,12,46,1.0
21,21,12,47,1.0
21,21,12,48,1.0
21,21,12,49,1.0
21,21,12,50,1.0
21,21,12,51,1.0
21,21,12,52,1.0
21,21,12,53,1.0
21,21,12,54,1.0
21,21,12,55,1.0
21,21,12,56,1.0
21,21,12,57,1.0
21,21,12,58,1.0
21,21,12,59,1.0
21,21,12,60,1.0
