outload_key,num_samples,replication,wall_clock_time,elapsed_time,obj,term,is_fixed,y_open[6],y_open[7],y_open[8],y_open[9],y_open[10],y_open[11]
7,2,2,45.22546625,537.1380219,3786249.5,optimal,TRUE,0,1,1,0,0,0
7,2,2,28.51385951,570.4762864,3168699,optimal,TRUE,0,1,0,0,0,1
7,2,3,106.1510997,681.6377442,3115032,optimal,FALSE,0,1,1,0,0,0
7,2,3,35.00076699,721.2303271,3287051,optimal,TRUE,0,1,0,0,0,1
7,2,3,26.01741028,752.2433116,3300250,optimal,TRUE,0,1,0,0,1,0
7,2,4,97.472785,854.2891812,3123566,optimal,FALSE,0,1,1,0,0,0
7,2,4,27.05968738,886.1425738,3163579,optimal,TRUE,0,1,0,0,0,1
7,2,4,26.66849613,917.8491573,3172555,optimal,TRUE,0,1,0,0,1,0
7,2,5,130.2588336,1052.909012,3324315,optimal,FALSE,0,1,0,0,1,0
7,2,5,33.57441044,1091.109431,3496494.5,optimal,TRUE,0,1,1,0,0,0
7,2,5,28.86406469,1124.886654,3340084.5,optimal,TRUE,0,1,0,0,0,1
7,2,6,106.8486907,1236.604008,2986684.5,optimal,FALSE,0,1,0,0,0,1
7,2,6,42.25713515,1283.61779,3389496.5,optimal,TRUE,0,1,1,0,0,0
7,2,6,30.23884988,1318.82401,3070887.5,optimal,TRUE,0,1,0,0,1,0
7,4,0,208.7459047,217.7744982,3058272,optimal,FALSE,0,1,0,0,0,1
7,4,0,81.41929102,624.3582206,3183747.5,optimal,TRUE,0,1,1,0,0,0
7,4,1,157.3328371,384.6497557,3110869,optimal,FALSE,0,1,0,0,0,1
7,4,1,66.19209647,699.9826262,3215349.5,optimal,TRUE,0,1,1,0,0,0
7,4,2,140.2509229,533.7849958,3097920.5,optimal,FALSE,0,1,1,0,0,0
7,4,2,51.15401173,760.8291705,3127744.75,optimal,TRUE,0,1,0,0,0,1
7,4,3,184.8390744,954.8279901,3018548.75,optimal,FALSE,0,1,0,0,0,1
7,4,3,120.3328941,130.8231206,3160135,optimal,TRUE,0,0,1,0,0,1
7,6,0,465.1136799,473.9496899,3230013.583,optimal,FALSE,0,0,1,0,0,1
7,6,0,259.9742756,885.7460485,3231765,optimal,TRUE,0,0,0,0,0,0
7,6,1,246.8175747,734.7719016,3021441.333,optimal,FALSE,0,1,0,0,0,1
7,6,1,95.71770787,994.96229,3197729.5,optimal,TRUE,0,0,1,0,0,1
7,6,2,348.799932,1358.008135,3262425.083,optimal,FALSE,0,1,0,0,0,1
7,6,2,107.7151432,1479.682085,3433035.833,optimal,TRUE,0,0,1,0,0,1
8,2,0,138.0741951,143.3998008,3587606,optimal,FALSE,0,1,0,0,1,0
8,2,0,33.45972252,294.4119718,3618343.5,optimal,TRUE,0,1,0,0,0,1
8,2,0,48.03570151,750.1350489,3735551,optimal,TRUE,0,1,1,0,0,0
8,2,1,107.9094784,256.036418,3450421.5,optimal,FALSE,0,1,0,0,0,1
8,2,1,24.61564279,323.7775009,3618165,optimal,TRUE,0,1,0,0,1,0
8,2,1,41.99956131,797.0809147,3955556,optimal,TRUE,0,1,1,0,0,0
8,2,2,108.0252278,436.6496646,3440818.5,optimal,FALSE,0,1,0,0,1,0
8,2,2,41.15901899,482.5856662,4145816,optimal,TRUE,0,1,0,0,0,1
8,2,2,41.45180583,843.2828171,3688546,optimal,TRUE,0,1,1,0,0,0
8,2,3,72.99439216,560.4543839,3332073,optimal,FALSE,0,1,0,0,0,1
8,2,3,36.68321824,601.929729,3744813,optimal,TRUE,0,1,0,0,1,0
8,2,3,49.36796284,897.4352548,3710434.5,optimal,TRUE,0,1,1,0,0,0
